Perfume,Brand,Gender,Year,Top,Middle,Base,mainaccord1,mainaccord2,mainaccord3,mainaccord4,mainaccord5,Rating Value,Rating Count
ck-in2u-her-collectables,calvin-klein,women,2009.0,"sicilian bergamot, pink grapefruit, red currant leaf","cactus, orchid","vanilla, red cedar, amber",citrus,aromatic,vanilla,fresh spicy,green,3.93,72
ck-one-red-edition-for-him,calvin-klein,men,2014.0,"pear, aldehydes","suede, ginger, black pepper, daim","tonka bean, vetiver, musk",fresh,sweet,warm spicy,fruity,aldehydic,3.93,410
ck-one-shock-street-edition-for-her,calvin-klein,women,2012.0,"plum, bergamot, mandarin orange","caramel, fruity notes, chocolate","patchouli, sandalwood, musk, amber",sweet,fruity,caramel,warm spicy,woody,3.93,294
eternity-now-for-men,calvin-klein,men,2015.0,"coconut nectar, star anise, ginger","carambola (star fruit), cedar, patchouli","vanilla, tonka bean, moroccan cedar",vanilla,coconut,sweet,tropical,fruity,3.93,782
eternity-summer-2020,calvin-klein,women,2020.0,"violet leaf, rose, bergamot","ginger, coconut nectar, jasmine sambac","musk, guaiac wood, vetiver",warm spicy,coconut,musky,ozonic,woody,3.93,69
aquaflore,carolina-herrera,women,1997.0,"melon, violet, peach, mandarin orange","cyclamen, jasmine, rose, lily-of-the-valley","orris root, sandalwood, amber, musk",powdery,white floral,floral,fresh,fruity,3.93,116
212-vip-black-ny,carolina-herrera,men,2023.0,"grapefruit, cardamom","lavender, absinthe","coffee, vetiver",coffee,warm spicy,aromatic,lavender,fresh spicy,3.93,120
ch-insignia,carolina-herrera,women,2018.0,"saffron, nutmeg, bergamot, coriander","leather, rose, agarwood (oud), styrax","incense, amber, cedar, patchouli, guaiac wood",amber,leather,warm spicy,woody,smoky,3.93,67
chance-eau-de-toilette,chanel,women,2002.0,"patchouli, pink pepper, pineapple, hiacynth, iris","lemon, jasmine, rose","patchouli, musk, vetiver, vanilla",patchouli,woody,sweet,earthy,citrus,3.93,11921
fleurs-de-bulgarie,creed,women,1845.0,bergamot,bulgarian rose,"musk, ambergris",rose,musky,amber,animalic,citrus,3.93,304
tubereuse-indiana,creed,women,1980.0,bergamot,indian tuberose,"ambergris, vanilla",tuberose,amber,animalic,white floral,vanilla,3.93,297
l-or-j-adore-the-absolute-perfume,dior,women,2007.0,"sweet pea, peony","magnolia, champaca, violet",musk,floral,sweet,fresh,musky,Unknown,3.93,108
miss-dior-eau-de-toilette-2019,dior,women,2019.0,"blood orange, mandarin orange","grasse rose, may rose, lily-of-the-valley",patchouli,citrus,rose,patchouli,woody,warm spicy,3.93,814
poison-girl,dior,women,2016.0,"bitter orange, lemon","damask rose, grasse rose, orange blossom","vanilla, almond, tonka bean, tolu balsam, sandalwood, cashmeran, heliotrope",vanilla,sweet,almond,powdery,citrus,3.93,8624
dolce-garden,dolce-gabbana,women,2018.0,"magnolia, neroli, mandarin orange","coconut, frangipani, ylang-ylang","vanilla absolute, almond milk, sandalwood",floral,coconut,vanilla,sweet,tropical,3.93,3692
the-one-desire,dolce-gabbana,women,2013.0,"litchi, mandarin orange, lily-of-the-valley, bergamot",tuberose,"caramel, vanila, amber, sandalwood",caramel,vanilla,white floral,tuberose,fruity,3.93,2737
velvet-oriental-musk,dolce-gabbana,unisex,2019.0,"saffron, cardamom, cumin","damask rose, cypriol oil or nagarmotha","sandalwood, musk, tonka bean, ambroxan, cedar",warm spicy,woody,musky,powdery,amber,3.93,149
remarkable-people,etat-libre-d-orange,unisex,2015.0,"grapefruit, champagne, cardamom","black pepper, curry tree, jasmine","sandalwood, lorenox, labdanum",warm spicy,citrus,woody,aromatic,champagne,3.93,2366
acqua-di-gioia-intense,giorgio-armani,women,2024.0,"citruses, red fruits","jasmine, damask rose","woodsy notes, musk",citrus,fresh,fruity,woody,white floral,3.93,115
cypres-pantelleria,giorgio-armani,unisex,2021.0,"citron, bergamot, neroli, mandarin orange","water notes, cypress, clary sage","oakmoss, vetiver, amberwood, patchouli",woody,aromatic,citrus,aquatic,fresh,3.93,273
beloved-woman,amouage,women,2012.0,"chamomile, rose, clary sage, lavender, cloves, cardamom, jasmine","immortelle, patchouli, benzoin, ylang-ylang, labdanum, olibanum, violet","civet, castoreum, leather, ambergris, musk, sandalwood, cedar, vanilla",warm spicy,amber,herbal,woody,musky,3.93,1604
ciel-pour-femme,amouage,women,2003.0,"cyclamen, gardenia, violet leaf","water lily, jasmine, peach blossom, rose","musk, sandalwood, incense, cedar, amber",floral,white floral,aquatic,fresh,powdery,3.93,2586
eau-de-givenchy-2018,givenchy,unisex,2018.0,"petitgrain, bergamot, lemon, orange, mandarin orange","neroli, orange blossom, green notes, hedione, bitter almond","white musk, vetiver, cedar",citrus,white floral,green,aromatic,fresh spicy,3.93,662
givenchy-harvest-2007-very-irresistible-damascena-rose,givenchy,women,2007.0,damask rose,"tea rose, damask rose, peony, magnolia","suede, patchouli",rose,floral,patchouli,leather,woody,3.93,145
aqua-allegoria-pera-granita,guerlain,women,2016.0,"grapefruit, lemon, bergamot","pear, orange blossom, osmanthus, hedione","white musk, cedar, moss",citrus,fruity,sweet,fresh,fresh spicy,3.93,2306
rose-amazone,hermes,women,2014.0,"black currant leaf, red currant, grapefruit, mandarin orange, bergamot, lemon","rose, blackberry, raspberry, floral notes","woody notes, vanilla, amber",fruity,rose,citrus,green,sweet,3.93,318
boss-orange-for-men,hugo-boss,men,2011.0,"red apple, coriander","incense, sichuan pepper","vanilla, woodsy notes",vanilla,woody,fruity,amber,sweet,3.93,1806
classique-summer-2013,jean-paul-gaultier,women,2013.0,"orange blossom, clementine, sicilian lemon","jasmine sambac, ylang-ylang, white iris, rose","vanilla, amber, musk",citrus,white floral,sweet,powdery,vanilla,3.93,133
ma-dame-eau-de-parfum,jean-paul-gaultier,women,2010.0,"pink pepper, orange","rose, patchouli","musk, virginia cedar",woody,rose,musky,patchouli,soft spicy,3.93,688
basil-neroli,jo-malone-london,unisex,2016.0,basil,neroli,"white musk, vetiver",fresh spicy,aromatic,green,citrus,white floral,3.93,1017
nectarine-blossom-honey,jo-malone-london,unisex,2005.0,"green notes, black currant, petitgrain","nectarine, black locust","peach, plum, vetiver",fruity,sweet,green,powdery,fresh,3.93,3743
la-vie-est-belle-en-rose,lancome,women,2019.0,"raspberry, red berries, pink pepper, bergamot","damask rose, rose, peony, lily-of-the-valley","patchouli, musk, iris, sandalwood",fruity,rose,sweet,floral,fresh,3.93,1407
tresor-edition-limitee-fete-des-meres,lancome,women,2011.0,"peach, apricot blossom, pineapple, lilac, lily-of-the-valley, bergamot","rose, iris, heliotrope, jasmine","amber, apricot, musk, sandalwood, vanille",fruity,powdery,floral,sweet,rose,3.93,68
amyris-femme,maison-francis-kurkdjian,women,2012.0,"lemon blossom, california orange","amyris, iris","vetiver, musk, amber",woody,aromatic,citrus,iris,powdery,3.93,2550
amberful,mancera,unisex,2024.0,"yuzu, calabrian bergamot, pink pepper, nutmeg","amberwood, patchouli, violet","cedar, amber, moss",woody,citrus,amber,fresh spicy,powdery,3.93,27
femme-de-montblanc,montblanc,women,2006.0,"cinnamon, cardamom, pineapple, bergamot","heliotrope, turkish rose, orange blossom, jasmine","dark chocolate, patchouli, amber, raspberry, musk, peach, vetiver",warm spicy,sweet,fruity,cinnamon,powdery,3.93,1250
femme-individuelle,montblanc,women,2004.0,"pink pepper, red currant, bay leaf","rose, lotus","patchouli, vanilla, amber, musk",soft spicy,fruity,sweet,rose,patchouli,3.93,1518
kuhuyan,parfums-de-marly,unisex,2013.0,"violet leaf, jasmine","leather, heliotrope","ambergris, agarwood (oud), tonka bean",leather,animalic,amber,ozonic,vanilla,3.93,292
infusion-mandarine,prada,unisex,2018.0,"green mandarin, orange, orange peel, mandarin leaf","orange blossom, neroli",opoponax,citrus,white floral,sweet,Unknown,Unknown,3.93,350
prada-la-femme,prada,women,2016.0,"magnolia, bergamot, carrot seeds","frangipani, tuberose, ylang-ylang, iris, spices","beeswax, vanilla, vetiver",floral,tuberose,beeswax,tropical,white floral,3.93,2897
un-chant-d-amour,prada,unisex,2015.0,"neroli, bergamot","cotton flower, orange blossom, jasmine, lily-of-the-valley","musk, benzoin",white floral,powdery,citrus,musky,floral,3.93,74
danger-pour-femme-essence-de-parfum,roja-dove,women,2021.0,"bergamot, grapefruit, lemon, mandarin orange","ylang-ylang, peach, may rose, jasmine, violet, gardenia","sandalwood, vanilla, tonka bean, orris, musk, clove, patchouli",powdery,woody,vanilla,sweet,warm spicy,3.93,109
scandal-pour-homme-parfum-cologne,roja-dove,men,2019.0,"lavender, lemon, mint, bergamot, tarragon, petitgrain, basil","jasmine, lily-of-the-valley, violet, rose de mai","moss, clove, ambergris, vetiver, tonka bean, patchouli, labdanum, cedar, sandalwood, cardamom, musk, nutmeg, cashmere wood, rhubarb",aromatic,citrus,fresh spicy,woody,green,3.93,540
neroli-portofino-acqua,tom-ford,unisex,2016.0,"bergamot, lemon, petitgrain","neroli, orange blossom","amberwood, white musk",citrus,white floral,aromatic,fresh spicy,green,3.93,1107
black-opium,yves-saint-laurent,women,2014.0,"pear, pink pepper, orange blossom","coffee, jasmine, bitter almond, licorice","vanilla, patchouli, cashmere wood, cedar",vanilla,coffee,sweet,warm spicy,white floral,3.93,25669
l-homme-le-parfum,yves-saint-laurent,men,2020.0,"ozonic notes, cardamom, lemon","geranium, violet leaf, basil","amberwood, cedar essence, vetiver",woody,aromatic,ozonic,warm spicy,fresh spicy,3.93,899
libre,yves-saint-laurent,women,2019.0,"lavender, mandarin orange, black currant, petitgrain","lavender, orange blossom, jasmine","madagascar vanilla, musk, cedar, ambergris",white floral,citrus,lavender,vanilla,aromatic,3.93,14331
02-sweet-vanilla,zara,women,2017.0,"chestnut, almond",caramel,"vanilla, musk, cedar",fruity,powdery,vanilla,woody,sweet,3.93,125
peony,zara,women,2022.0,"pear, black currant","peony, rose, gardenia, iris","black vanilla husk, tonka bean, praline, woody notes",floral,rose,fresh,fruity,sweet,3.93,122
gardens-in-the-desert-sand,zara,men,2018.0,pimento,geranium,sandalwood,warm spicy,woody,fresh spicy,aromatic,powdery,3.93,30
hi-lo-country-summer,zara,men,2019.0,bergamot,iris,sandalwood,iris,powdery,citrus,violet,woody,3.93,28
woman-l-eau,zara,women,2021.0,lemon,pineapple,musk,fruity,sweet,musky,citrus,tropical,3.93,27
gold,zara,men,2021.0,praline,cinnamon,"cardamom, woody notes",warm spicy,cinnamon,woody,aromatic,Unknown,3.93,30
applejuice,zara,women,2012.0,"apple, grapefruit, orange","peony, rose, jasmine, violet","musk, sandalwood, cedar",fruity,fresh,citrus,rose,floral,3.93,1591
oriental,zara,women,Inconnu,"freesia, bergamot, rose","vanilla, jasmine","caramel, patchouli, musk",caramel,vanilla,sweet,floral,powdery,3.93,1351
zara-lily-pad-eau-de-toilette,zara,women,2020.0,red fruits,lily,praline,white floral,sweet,fruity,soft spicy,fresh,3.93,71
burberry-brit-for-men,burberry,men,2004.0,"ginger, cardamom, bergamot, green mandarin","wild rose, nutmeg, cedar, spicy notes","tonka bean, gray musk, cedar, oriental woodsy notes, patchouli",warm spicy,rose,woody,citrus,fresh spicy,3.94,3524
burberry-brit-sheer-2015,burberry,women,2015.0,"litchi, yuzu, pineapple leaf, mandarin orange","pink peony, peach blossom, pear","white musk, white woods",floral,fruity,fresh,citrus,sweet,3.94,1730
hero-parfum,burberry,men,2024.0,amyris,cedarwood,cypriol oil or nagarmotha,woody,aromatic,earthy,Unknown,Unknown,3.94,279
mon-jasmin-noir,bvlgari,women,2011.0,"lily-of-the-valley, citron","jasmine, jasmine sambac","nougat, musk, virginia cedar, patchouli",white floral,sweet,woody,musky,fresh,3.94,3304
rose-goldea,bvlgari,women,2016.0,"rose, musk, pomegranate, bergamot","damask rose, peony, jasmine, peach","musk, sandalwood, olibanum, vanilla",rose,floral,woody,musky,fresh,3.94,1618
escape-for-men,calvin-klein,men,1993.0,"melon, eucalyptus, mango, grapefruit, juniper, bergamot","sea notes, birch, fir, cypress, rosemary, sage","oakmoss, vetiver, sandalwood, amber, patchouli",woody,aromatic,fresh spicy,citrus,aquatic,3.94,1873
euphoria-amber-gold,calvin-klein,women,2018.0,"plum, mandarin orange, rose","honey, orange blossom, orris","amber, sandalwood, vanilla, labdanum",amber,sweet,honey,powdery,woody,3.94,361
liquid-gold-euphoria,calvin-klein,women,2014.0,cinnamon,black orchid,sandalwood,warm spicy,woody,cinnamon,powdery,floral,3.94,284
212-sexy-men,carolina-herrera,men,2006.0,"mandarin orange, bergamot, green notes","pepper, flowers, cardamom","vanilla, guaiac wood, sandalwood, amber, musk",vanilla,woody,powdery,warm spicy,fresh spicy,3.94,2732
212-vip-party-fever,carolina-herrera,women,2018.0,"litchi, raspberry, liquor","sea notes, jasmine","musk, sandalwood, woody notes",fruity,marine,woody,musky,sweet,3.94,207
good-girl-midnight,carolina-herrera,women,2022.0,"almond, pink pepper","orange blossom, tuberose","tonka bean, vanilla, patchouli",white floral,vanilla,sweet,tuberose,almond,3.94,87
chanel-n05-vintage,chanel,women,1921.0,"aldehydes, ylang-ylang, neroli, lemon, bergamot","rose, iris, jasmine, orris root, lily-of-the-valley","civet, amber, sandalwood, musk, vanilla, oakmoss, patchouli, vetiver",aldehydic,powdery,woody,fresh,white floral,3.94,189
millesime-1849-eau-de-parfum,creed,men,2023.0,"bergamot, lemon, grapefruit","ylang ylang, jasmine, rose, iris","bay leaf, thyme, cedar, incense",citrus,fresh spicy,aromatic,yellow floral,woody,3.94,48
green-neroli,creed,unisex,2020.0,"mint, blood mandarin, petitgrain paraguay","neroli, tarragon, orange","mint, italian lemon, caraway, rosemary",citrus,aromatic,green,fresh spicy,Unknown,3.94,62
royal-service,creed,women,2011.0,"bergamot, grapefruit, bitter orange","iris, narcissus, neroli","musk, amber",citrus,powdery,musky,iris,fresh spicy,3.94,49
dior-addict-eau-de-toilette,dior,women,2014.0,sicilian mandarin,"jasmine sambac, tunisian neroli","vanilla, sandalwood",white floral,citrus,vanilla,woody,powdery,3.94,2177
miss-dior-eau-de-parfum-2017,dior,women,2017.0,"pink pepper, blood orange, sweet orange, mandarin orange, calabrian bergamot, lemon","grasse rose, damask rose, jasmine leaf","patchouli, palisander rosewood",citrus,woody,rose,patchouli,sweet,3.94,3297
poison,dior,women,1985.0,"plum, wild berries, coriander, anise, brazilian rosewood","tuberose, incense, white honey, cinnamon, opoponax, carnation, jasmine, african orange flower, rose","vanille, amber, sandalwood, heliotrope, musk, vetiver, virginia cedar",fruity,sweet,amber,white floral,woody,3.94,14700
light-blue-summer-vibes,dolce-gabbana,women,2023.0,calabrian bergamot,peach,cedar,citrus,woody,fruity,fresh spicy,powdery,3.94,621
the-only-one,dolce-gabbana,women,2018.0,"violet, orange, bergamot","coffee, pear, iris, orange blossom, rose","caramel, vanilla, patchouli",caramel,sweet,powdery,vanilla,violet,3.94,5345
gardenia-antigua,giorgio-armani,unisex,2020.0,"neroli, mandarin orange, pink pepper","gardenia, ylang-ylang, jasmine","white musk, ambergris, patchouli",white floral,yellow floral,musky,animalic,sweet,3.94,331
my-way-nectar,giorgio-armani,women,2024.0,"pear, orange blossom, bergamot","tuberose, jasmine, violet leaf","white musk, cedarwood, bourbon vanilla",white floral,citrus,aquatic,sweet,tuberose,3.94,488
the-library-collection-opus-i,amouage,unisex,2010.0,"cardamom, bitter orange, plum","ylang-ylang, tuberose, jasmine, rose, lily-of-the-valley","incense, papyrus, guaiac wood, tonka bean, sandalwood, vetyver, virginia cedar",woody,warm spicy,white floral,aromatic,sweet,3.94,739
my-givenchy,givenchy,women,2005.0,"pear, red currant, orange, cassia","mimosa, lily-of-the-valley, violet","vetiver, white musk, patchouli",fruity,sweet,fresh,aromatic,woody,3.94,175
ysatis-iris,givenchy,women,2004.0,"black currant, violet, mandarin orange","tuberose, rose, jasmine","iris, vanilla, patchouli",powdery,violet,iris,fruity,white floral,3.94,206
l-heure-blanche,guerlain,women,2020.0,water notes,"milk, white flowers","white musk, iris, white amber",aquatic,musky,powdery,lactonic,amber,3.94,63
frenchy-lavande,guerlain,unisex,2021.0,"lemon verbena, lemon, bergamot","petitgrain, lavender, citron, sage, neroli","vetiver, ambergris, tonka bean",citrus,aromatic,fresh spicy,herbal,Unknown,3.94,162
la-petite-robe-noire-eau-de-parfum-collector-edition,guerlain,women,2013.0,"red berries, sour cherry, almond, bergamot","licorice, rose, taif rose, tea","iris, patchouli, tonka bean, anise, vanilla",sweet,fruity,soft spicy,almond,cherry,3.94,135
la-petite-robe-noire-eau-de-parfum-intense,guerlain,women,2022.0,"blueberry, raspberry, bergamot","bulgarian rose, turkish rose, orange blossom, jasmine","cotton candy, patchouli, vanilla, white musk, sandalwood",sweet,fruity,rose,patchouli,woody,3.94,216
samsara-shine,guerlain,women,2001.0,"fig leaf, green notes, citruses","ylang-ylang, jasmine, red currant","sandalwood, vanilla, tonka bean, amber",green,woody,sweet,vanilla,fresh,3.94,397
kelly-caleche,hermes,women,2007.0,"grapefruit, narcissus, lily-of-the-valley","rose, mimosa, tuberose","leather, iris",leather,rose,citrus,animalic,iris,3.94,4230
boss-nuit-pour-femme-intense,hugo-boss,women,2014.0,white peach,"white flowers, violet, jasmine","woody notes, sandalwood, moss",white floral,woody,fruity,powdery,violet,3.94,287
hugo-iced,hugo-boss,men,2017.0,"mint, tea","bitter orange, juniper",vetiver,green,aromatic,fresh spicy,citrus,woody,3.94,696
classique-summer-2012,jean-paul-gaultier,women,2012.0,"orange blossom, clementine, rose","ylang-ylang, jasmine, iris, lily-of-the-valley","vanilla, musk, amber",white floral,citrus,sweet,yellow floral,powdery,3.94,129
frangipani-flower-cologne,jo-malone-london,unisex,2019.0,"lemon, solar notes","frangipani, jasmine, ylang-ylang","sandalwood, benzoin",floral,citrus,tropical,white floral,yellow floral,3.94,279
idole-eau-de-toilette,lancome,women,2024.0,"green tea, bergamot","damask rose, rose water","musk, patchouli, cedar, bourbon vanilla",rose,citrus,musky,green,woody,3.94,93
la-vie-est-belle-l-eau-de-toilette,lancome,women,2014.0,"almond, magnolia","iris, patchouli, white flowers","spun sugar, praline, vanilla, tonka bean",sweet,vanilla,caramel,nutty,almond,3.94,914
miracle,lancome,women,2000.0,"litchi, freesia","magnolia, pepper, ginger, mandarin orange, jasmine","jasmine, musk, amber",floral,citrus,warm spicy,fresh spicy,fruity,3.94,13332
amwaaj-al-oud,lattafa-perfumes,unisex,2016.0,"apricot, rose","woodsy notes, ambroxan","sandalwood, agarwood (oud), musk",woody,powdery,musky,oud,rose,3.94,36
sutoor,lattafa-perfumes,women,2022.0,"peach, cardamom, blood orange, heliotrope","rum, brandy, davana, jasmine","vanilla, benzoin, cashmere wood, sandalwood, styrax, vetiver, patchouli, tonka bean, labdanum",woody,warm spicy,amber,vanilla,fruity,3.94,147
musk-candy-rose,lattafa-perfumes,unisex,Inconnu,"rose, citruses","white musk, floral notes","musk, amber",floral,rose,musky,powdery,amber,3.94,48
hindu-kush,mancera,unisex,2018.0,"incense, spices, cannabis, labdanum","woody notes, patchouli leaf","amber, guaiac wood, vanilla pod, white musk",amber,woody,warm spicy,smoky,cannabis,3.94,2357
choco-violet,mancera,unisex,2016.0,"hazelnut, orange, bergamot","dark chocolate, violet","madagascar vanilla, white musk",powdery,nutty,violet,chocolate,sweet,3.94,1227
red-tobacco-intense,mancera,unisex,2023.0,"cinnamon, incense, pear, agarwood (oud), saffron, nutmeg","tobacco, leather, patchouli, jasmine, vetiver","vanilla, musk, guaiac wood, sandalwood, ambergris",tobacco,sweet,warm spicy,leather,vanilla,3.94,466
roses-greedy,mancera,unisex,2012.0,"peach, black currant, mandarin orange, pink pepper, coconut","rose, flowers, jasmine","white musk, sugar, vanilla, amber, benzoin",floral,rose,sweet,musky,vanilla,3.94,1835
roseaoud-musc,mancera,unisex,2011.0,spicy notes,"rose, saffron, jasmine","agarwood (oud), white musk, sandalwood",rose,warm spicy,oud,musky,powdery,3.94,286
legend-pour-femme-special-edition-2014,montblanc,women,2014.0,"bitter orange, peony, litchi","orange blossom, jasmine","woody notes, musk",white floral,citrus,fresh,floral,woody,3.94,47
presence-cool,montblanc,men,2002.0,"bamboo, bergamot, granny smith apple","geranium, jasmine","musk, sandalwood, amber, patchouli, tonka bean",woody,fresh spicy,aromatic,citrus,amber,3.94,227
fame-blooming-pink,paco-rabanne,women,2023.0,"mango, bergamot","jasmine, olibanum","vanilla, sandalwood",tropical,vanilla,fruity,sweet,white floral,3.94,108
alizarin,penhaligon-s,unisex,2016.0,"narcissus, mandarin orange","mimosa, tuberose, iris","leather, agarwood (oud), incense, vetiver",leather,yellow floral,oud,smoky,animalic,3.94,137
levantium,penhaligon-s,unisex,2014.0,"saffron, wormwood, artemisia, bergamot","rose, cloves, cardamom, jasmine, violet, ylang-ylang, peach","agarwood (oud), guaiac wood, patchouli, sandalwood, amber, myrrh, cedar, musk, vanilla",warm spicy,woody,oud,aromatic,rose,3.94,290
infusion-de-fleur-d-oranger,prada,women,2009.0,"neroli, mandarin orange","orange blossom, jasmine, tuberose","powdery notes, serenolide",white floral,citrus,tuberose,Unknown,Unknown,3.94,1040
prada-paradoxe-intense,prada,women,2023.0,"pear, neroli, bergamot","moss, jasmine, neroli essence","bourbon vanilla, vanilla, amber, ambrofix, serenolide",white floral,vanilla,mossy,citrus,fruity,3.94,1067
fleur-de-portofino-acqua,tom-ford,unisex,2019.0,"mandarin orange, violet leaf, bergamot, tangerine, bitter orange, lemon","acácia, orange blossom, magnolia, jasmine, moroccan rose",honey,citrus,floral,white floral,honey,sweet,3.94,183
v-e,versace,women,1989.0,"aldehydes, green notes, african orange flower, bergamot, amalfi lemon","narcissus, rose, ylang-ylang, cyclamen, jasmine, orris root, lily-of-the-valley","oak moss, sandalwood, heliotrope, virginia cedar, amber, musk",woody,yellow floral,powdery,white floral,green,3.94,203
versace-pour-femme,versace,women,2007.0,"lilac, guava, wisteria, black currant, dew drop","jasmine, lotus, orchid, rhododendron","musk, cashmere wood, bourbon vetiver, atlas cedar",floral,fresh,fruity,white floral,woody,3.94,2901
black-opium-wild-edition,yves-saint-laurent,women,2016.0,"pear, pink pepper, orange blossom","coffee, jasmine, bitter almond, licorice","vanilla, patchouli, cashmere wood, cedar",vanilla,coffee,white floral,warm spicy,sweet,3.94,84
opium-collector-edition-2008,yves-saint-laurent,women,2008.0,"cloves, west indian bay, mandarin orange, plum, jasmine, citruses, coriander, pepper, bergamot","carnation, cinnamon, rose, sandalwood, patchouli, orris root, peach, lily-of-the-valley","myrrh, amber, incense, opoponax, vanilla, benzoin, tolu balsam, sandalwood, labdanum, coconut, vetiver, cedar, musk",amber,warm spicy,balsamic,woody,aromatic,3.94,65
parisienne-l-essentiel,yves-saint-laurent,women,2011.0,"blackberry, pink pepper, vinyl","rose, jasmine, iris","musk, tonka bean, suede",fruity,rose,musky,sweet,white floral,3.94,207
blueberry,zara,women,Inconnu,"raspberry, black currant","violet, jasmine","cedar, musk",fruity,woody,sweet,powdery,violet,3.94,88
mystery-balance,zara,women,2021.0,salt,sandalwood,musk,musky,salty,powdery,woody,marine,3.94,50
femme-summer,zara,women,2019.0,mandarin orange,jasmine,madagascar vanilla,white floral,citrus,vanilla,floral,Unknown,3.94,49
crispy-gardenia,zara,women,2021.0,peach,gardenia,patchouli,white floral,fruity,patchouli,lactonic,woody,3.94,47
white-gardenia,zara,women,2021.0,raspberry,jasmine,amber,fruity,white floral,sweet,amber,Unknown,3.94,36
zara-zen-garden,zara,women,2017.0,"ivy, solar notes","iris, tuberose, magnolia","patchouli, musk, sandalwood",green,woody,iris,powdery,tuberose,3.94,47
gloss-a-levre,zara,women,2019.0,red berries,peach,vanilla,fruity,sweet,vanilla,powdery,fresh,3.94,36
004-me-my-selfie,zara,women,2019.0,almond,magnolia,tonka bean,almond,sweet,floral,vanilla,nutty,3.94,33
blue-spirit,zara,men,2022.0,tangerine,ylang-ylang,amber,citrus,amber,sweet,yellow floral,fruity,3.94,239
vancouver-hornby-street-down,zara,men,2021.0,red apple,aromatic spices,patchouli,warm spicy,fruity,patchouli,woody,sweet,3.94,68
boldly-seoul,zara,unisex,2021.0,violet,mimosa,musk,powdery,yellow floral,floral,violet,musky,3.94,539
berry-green,zara,women,2019.0,cassis,freesia,musk,floral,musky,aromatic,soft spicy,green,3.94,31
coral-cassis-eau-de-toilette,zara,women,2020.0,black currant,peony,peach,floral,fruity,fresh,rose,Unknown,3.94,33
unusual-fruit,zara,women,2022.0,"fig tree, fig",tonka bean,woodsy notes,woody,fruity,sweet,Unknown,Unknown,3.94,53
the-beat,burberry,women,2008.0,"pink pepper, mandarin orange, cardamom, bergamot","tea, iris, bellflower","white musk, vetiver, cedar",citrus,musky,powdery,woody,green,3.95,4512
blv-absolute,bvlgari,women,2002.0,"ginger, bergamot","ginger, wisteria, flax, mimosa","vanilla, musk, sandalwood",floral,warm spicy,powdery,vanilla,fresh,3.95,149
omnia-amethyste,bvlgari,women,2006.0,"green notes, pink grapefruit","iris, bulgarian rose","heliotrope, woodsy notes",powdery,iris,vanilla,woody,almond,3.95,5048
splendida-patchouli-tentation,bvlgari,women,2020.0,"patchouli, white peach","patchouli, orris","indonesian patchouli leaf, white musk",patchouli,powdery,iris,woody,earthy,3.95,686
splendida-tubereuse-mystique,bvlgari,women,2019.0,"black currant, davana",tuberose,"vanilla absolute, myrrh",tuberose,vanilla,white floral,amber,aromatic,3.95,1357
eternity-summer-2007,calvin-klein,women,2007.0,"pear, bergamot, orange blossom","hyacinth, peony, gardenia","musk, tonka bean, heliotrope",floral,white floral,green,fresh spicy,fresh,3.95,81
carolina,carolina-herrera,women,2003.0,"wild strawberry leaf, bitter orange, cardamom","forest fruits, rose, pepper","cashmere wood, musk, amber, vanilla",woody,musky,citrus,amber,fresh spicy,3.95,475
212-h2o,carolina-herrera,women,2003.0,"bergamot, grapefruit, mandarin orange","gardenia, ginger","sandalwood, musk",citrus,warm spicy,white floral,fresh spicy,woody,3.95,80
212-men-summer,carolina-herrera,men,2013.0,"gin, lemon, mandarin orange, grapefruit, cardamom","pepper, jasmine, ambroxan, hedione","woody notes, patchouli, musk",citrus,aromatic,woody,fresh spicy,warm spicy,3.95,88
212-splash-for-women,carolina-herrera,women,2007.0,"bergamot, mandarin orange, grapefruit","litchi, peony, rose","cedar, musk, sandalwood",citrus,woody,floral,fresh,powdery,3.95,57
good-girl-fantastic-pink,carolina-herrera,women,2020.0,"almond, coffee, bergamot, lemon","tuberose, jasmine sambac, bulgarian rose, orange blossom, orris","tonka bean, praline, cacao pod, vanilla, cashmere wood, sandalwood, cinnamon, patchouli, amber, musk, cedar",sweet,vanilla,warm spicy,white floral,amber,3.95,228
santal-imperial,creed,men,1850.0,"citruses, bergamot",tonka bean,"sandalwood, ambergris",citrus,woody,amber,powdery,fresh spicy,3.95,84
viking,creed,men,2017.0,"pink pepper, peppermint, bergamot, lemon, absinthe, orange","lavender, bulgarian rose, clove, allspice, orris root, jasmine","vetiver, cedar, white musk, tonka bean",aromatic,fresh spicy,green,citrus,soft spicy,3.95,3188
eau-de-dolce-vita,dior,women,1998.0,"grapefruit, bergamot, mandarin orange","peony, freesia, white pepper, jasmine, hedione","osmanthus, sandalwood, vanilla, white musk",floral,citrus,fresh spicy,fresh,fruity,3.95,669
addict-to-life,dior,women,2011.0,"raspberry, peach, pomegranate","rose, lily-of-the-valley, jasmine","musk, virginia cedar",white floral,rose,fruity,sweet,musky,3.95,734
miss-dior-blooming-bouquet-2023,dior,women,2023.0,"sweet pea, bergamot","peony, damask rose",white musk,floral,rose,fresh,musky,citrus,3.95,756
miss-dior-cherie-eau-de-printemps,dior,women,2008.0,"blood orange, bergamot","rose, jasmine, neroli",patchouli,citrus,white floral,rose,patchouli,fresh spicy,3.95,324
