Perfume,Brand,Gender,Year,Top,Middle,Base,mainaccord1,mainaccord2,mainaccord3,mainaccord4,mainaccord5,Rating Value,Rating Count
musk-memento-cologne,jo-malone-london,unisex,2024.0,"aldehydes, ambrette","iris, lavender, cedar","white musk, musk, amber, patchouli",musky,powdery,aldehydic,woody,iris,3.63,54
feminity,mancera,women,2020.0,"leather, tangerine, pink pepper, coffee","violet, heliotrope, jasmine, lily-of-the-valley","vanilla pod, caramel, white musk, sandalwood, amber, oakmoss",powdery,vanilla,leather,white floral,sweet,3.63,479
blue-aoud,mancera,unisex,2015.0,"tarragon, saffron, black pepper, clove",rose petals,"oriental woodsy notes, leather, amber, white musk",warm spicy,leather,woody,rose,aromatic,3.63,81
cafe-rose-2023,tom-ford,women,2023.0,"turkish rose, coffee","bulgarian rose, patchouli, cardamom, coriander, ylang-ylang","frankincense, sandalwood",warm spicy,rose,woody,patchouli,aromatic,3.63,1361
black-amber,zara,women,2016.0,mandarin orange,"passionfruit, tiare flower","musk, vanilla",sweet,fruity,musky,tropical,vanilla,3.63,726
bold-blossom,zara,women,2024.0,"saffron, tangerine, pink pepper","frankincense, rose, raspberry","patchouli, black amber, tonka bean",amber,warm spicy,rose,patchouli,fruity,3.63,35
luminous-nectar,zara,women,2022.0,"white pear, bergamot, galbanum","violet, hyacinth, peony","musk, white musk",floral,musky,fruity,green,powdery,3.63,51
touch-for-women,burberry,women,1998.0,"red pepper, cassia, blackberry, cranberry, black currant, rose oil, orange","lily, peony, peach, tuberose, lily-of-the-valley, jasmine, raspberry","cedar, oakmoss, vanilla, green almond, tonka bean",fruity,woody,white floral,fresh,sweet,3.64,2303
man,calvin-klein,men,2007.0,"violet leaf, mandarin orange, rosemary, bergamot","bay leaf, incense, nutmeg, mint","cypress, sandalwood, guaiac wood, musk, amber",fresh spicy,woody,aromatic,ozonic,citrus,3.64,1209
ck-one-red-edition-for-her,calvin-klein,women,2014.0,"watermelon, violet",floral notes,"musk, patchouli, white amber",ozonic,aquatic,powdery,floral,musky,3.64,496
eternity-now-for-women,calvin-klein,women,2015.0,"quince, sorbet, litchi","peach blossom, peony, neroli","musk, cashmere wood, ambroxan",floral,fruity,fresh,musky,sweet,3.64,891
